Accession,Phylogroup,FIA,FIB,FIC
ERR434259,A,,,
ERR434262,A,,,
ERR434274,A,FIA,FIB,
ERR434291,A,FIA,FIB,
ERR434297,A,,,
ERR434298,A,FIA,FIB,FIC
ERR434310,A,FIA,FIB,FIC
ERR434327,A,,FIB,FIC
ERR434348,A,,FIB,FIC
ERR434366,A,FIA,FIB,FIC
ERR434374,A,FIA,FIB,FIC
ERR434411,A,,,
ERR434414,A,,FIB,
ERR434422,A,,,
ERR434424,A,,,
ERR434437,A,,,
ERR434444,A,,FIB,
ERR434460,A,,FIB,
ERR434469,A,,FIB,
ERR434484,A,,,FIC
ERR434485,A,,,
ERR434513,A,,FIB,
ERR434515,A,FIA,FIB,
ERR434537,A,FIA,FIB,
ERR434544,A,,FIB,
ERR434557,A,,FIB,
ERR434558,A,,FIB,FIC
ERR434560,A,,,
ERR434568,A,FIA,FIB,FIC
ERR434570,A,FIA,FIB,
ERR434591,A,,,
ERR434605,A,,FIB,FIC
ERR434630,A,,,
ERR434646,A,,,
ERR434669,A,,FIB,FIC
ERR434670,A,,,FIC
ERR434684,A,,FIB,FIC
ERR434689,A,,FIB,
ERR434713,A,,FIB,
ERR434718,A,,FIB,FIC
ERR434720,A,,FIB,
ERR434735,A,FIA,FIB,FIC
ERR434739,A,,,FIC
ERR434747,A,,FIB,FIC
ERR434756,A,,FIB,
ERR434778,A,,,
ERR434802,A,,,
ERR434824,A,,FIB,FIC
ERR434845,A,,FIB,
ERR434848,A,FIA,,
ERR434850,A,,FIB,
ERR434870,A,,FIB,
ERR434910,A,,,
ERR434919,A,FIA,,FIC
ERR434932,A,,FIB,
ERR434958,A,,,
ERR434971,A,,FIB,
ERR434973,A,,,
ERR434989,A,,FIB,FIC
ERR434990,A,,FIB,
ERR434996,A,FIA,FIB,FIC
ERR435002,A,,FIB,
ERR435004,A,FIA,FIB,
ERR435015,A,FIA,FIB,FIC
ERR435024,A,,,
ERR435026,A,,FIB,FIC
ERR435032,A,,,
ERR435071,A,FIA,FIB,FIC
ERR435099,A,,,
ERR435109,A,,,
ERR435121,A,,FIB,
ERR435158,A,,FIB,
ERR435211,A,,FIB,
ERR435225,A,,,FIC
ERR435230,A,FIA,FIB,
ERR435231,A,FIA,FIB,FIC
ERR435237,A,FIA,FIB,FIC
ERR435246,A,,FIB,
ERR435248,A,,,
ERR435249,A,,,
ERR435256,A,,FIB,FIC
ERR435257,A,,,FIC
ERR435263,A,FIA,FIB,FIC
ERR435273,A,,,
ERR435293,A,,,
ERR435306,A,,FIB,FIC
ERR435316,A,,FIB,
ERR435328,A,,,
ERR435339,A,FIA,FIB,
ERR435348,A,,FIB,
ERR435349,A,,FIB,
ERR435355,A,,,
ERR435363,A,,FIB,
ERR435371,A,,FIB,FIC
ERR435383,A,FIA,FIB,FIC
ERR435416,A,,FIB,
ERR435426,A,,,
ERR435452,A,,FIB,
ERR435468,A,,FIB,FIC
ERR435475,A,,FIB,
ERR435509,A,,FIB,
ERR435511,A,,FIB,
ERR435512,A,,,
ERR435516,A,,FIB,FIC
ERR435527,A,,,
ERR435532,A,,FIB,
ERR435545,A,,FIB,FIC
ERR435557,A,,FIB,
ERR435562,A,,FIB,
ERR435571,A,,FIB,FIC
ERR435576,A,,,FIC
ERR439538,A,FIA,FIB,
ERR439546,A,,FIB,
ERR439560,A,,FIB,FIC
ERR439567,A,,FIB,
ERR439600,A,,FIB,
ERR439604,A,,FIB,FIC
ERR439614,A,,,
ERR439619,A,FIA,FIB,FIC
ERR439622,A,,FIB,
ERR439625,A,FIA,FIB,
ERR439634,A,,FIB,FIC
ERR439645,A,FIA,FIB,
ERR439668,A,FIA,FIB,
ERR439681,A,,FIB,
ERR439693,A,,,
ERR439702,A,,,
ERR439728,A,,FIB,FIC
ERR460494,A,,FIB,FIC
ERR485894,A,,FIB,
ERR434263,B1 ,,FIB,FIC
ERR434267,B1 ,,,
ERR434268,B1 ,,,
ERR434279,B1 ,,,
ERR434292,B1 ,,FIB,FIC
ERR434300,B1 ,,FIB,
ERR434328,B1 ,,,
ERR434343,B1 ,FIA,FIB,
ERR434351,B1 ,,,
ERR434353,B1 ,,,FIC
ERR434355,B1 ,,FIB,FIC
ERR434358,B1 ,,FIB,
ERR434393,B1 ,,,
ERR434453,B1 ,,,
ERR434459,B1 ,,FIB,FIC
ERR434491,B1 ,FIA,FIB,
ERR434496,B1 ,FIA,FIB,FIC
ERR434535,B1 ,FIA,FIB,FIC
ERR434541,B1 ,,FIB,
ERR434552,B1 ,,FIB,
ERR434596,B1 ,,,
ERR434651,B1 ,,,
ERR434663,B1 ,,FIB,
ERR434665,B1 ,,,
ERR434668,B1 ,,FIB,
ERR434675,B1 ,FIA,FIB,FIC
ERR434698,B1 ,,,
ERR434783,B1 ,,FIB,
ERR434801,B1 ,,,
ERR434841,B1 ,,,
ERR434886,B1 ,,FIB,
ERR434892,B1 ,,,
ERR434930,B1 ,FIA,FIB,
ERR434955,B1 ,,,
ERR434962,B1 ,,FIB,
ERR434970,B1 ,,,
ERR434981,B1 ,,,
ERR435021,B1 ,,,
ERR435074,B1 ,,FIB,
ERR435080,B1 ,,FIB,
ERR435175,B1 ,,FIB,
ERR435205,B1 ,FIA,FIB,
ERR435243,B1 ,,,
ERR435251,B1 ,,,
ERR435254,B1 ,,,
ERR435338,B1 ,,,
ERR435362,B1 ,,,
ERR435364,B1 ,,FIB,
ERR435443,B1 ,,FIB,
ERR435482,B1 ,,,
ERR435498,B1 ,,FIB,FIC
ERR435534,B1 ,,FIB,
ERR435536,B1 ,FIA,FIB,
ERR435553,B1 ,FIA,FIB,
ERR439541,B1 ,,,
ERR439545,B1 ,FIA,FIB,FIC
ERR439547,B1 ,,,
ERR439577,B1 ,,FIB,
ERR439582,B1 ,,FIB,FIC
ERR439583,B1 ,,FIB,
ERR439587,B1 ,FIA,FIB,
ERR439593,B1 ,,FIB,FIC
ERR439599,B1 ,,FIB,FIC
ERR439617,B1 ,,FIB,
ERR439620,B1 ,,FIB,
ERR439680,B1 ,,,
ERR439694,B1 ,,FIB,
ERR439700,B1 ,,FIB,
ERR439705,B1 ,,,
ERR434260,B2 ,,FIB,
ERR434261,B2 ,,,
ERR434264,B2 ,,,
ERR434265,B2 ,FIA,,
ERR434266,B2 ,FIA,FIB,
ERR434269,B2 ,FIA,,
ERR434270,B2 ,,,
ERR434271,B2 ,FIA,,
ERR434273,B2 ,,FIB,FIC
ERR434275,B2 ,,FIB,
ERR434276,B2 ,,FIB,FIC
ERR434277,B2 ,,FIB,
ERR434280,B2 ,FIA,FIB,
ERR434281,B2 ,,FIB,
ERR434282,B2 ,,FIB,FIC
ERR434283,B2 ,,,
ERR434284,B2 ,,,
ERR434285,B2 ,,FIB,
ERR434286,B2 ,FIA,,
ERR434287,B2 ,,,
ERR434288,B2 ,FIA,FIB,
ERR434289,B2 ,,,
ERR434294,B2 ,,,
ERR434295,B2 ,,FIB,
ERR434299,B2 ,,FIB,
ERR434302,B2 ,FIA,FIB,
ERR434304,B2 ,,,
ERR434305,B2 ,,,
ERR434306,B2 ,,,
ERR434307,B2 ,,FIB,
ERR434308,B2 ,,,
ERR434309,B2 ,,,
ERR434311,B2 ,,FIB,
ERR434312,B2 ,,FIB,
ERR434313,B2 ,,,
