Plasmid,ERR434265,ERR434266,ERR434269,ERR434271,ERR434280,ERR434286,ERR434288,ERR434302,ERR434319,ERR434330,ERR434331,ERR434338,ERR434340,ERR434347,ERR434350,ERR434368,ERR434370,ERR434386,ERR434391,ERR434405,ERR434417,ERR434418,ERR434419,ERR434421,ERR434426,ERR434436,ERR434445,ERR434448,ERR434462,ERR434468,ERR434471,ERR434472,ERR434473,ERR434492,ERR434497,ERR434502,ERR434503,ERR434504,ERR434505,ERR434506,ERR434507,ERR434508,ERR434509,ERR434516,ERR434520,ERR434523,ERR434528,ERR434533,ERR434534,ERR434539,ERR434545,ERR434577,ERR434582,ERR434583,ERR434584,ERR434587,ERR434588,ERR434600,ERR434601,ERR434602,ERR434608,ERR434612,ERR434620,ERR434632,ERR434640,ERR434660,ERR434679,ERR434703,ERR434707,ERR434708,ERR434716,ERR434719,ERR434722,ERR434723,ERR434727,ERR434740,ERR434743,ERR434749,ERR434750,ERR434752,ERR434757,ERR434764,ERR434766,ERR434770,ERR434779,ERR434780,ERR434781,ERR434782,ERR434804,ERR434805,ERR434821,ERR434825,ERR434842,ERR434844,ERR434847,ERR434856,ERR434868,ERR434873,ERR434875,ERR434877,ERR434893,ERR434898,ERR434905,ERR434907,ERR434915,ERR434916,ERR434922,ERR434925,ERR434929,ERR434937,ERR434938,ERR434945,ERR434946,ERR434953,ERR434956,ERR434960,ERR434963,ERR434982,ERR434994,ERR434995,ERR434997,ERR435001,ERR435008,ERR435016,ERR435020,ERR435023,ERR435030,ERR435041,ERR435058,ERR435059,ERR435067,ERR435087,ERR435088,ERR435095,ERR435096,ERR435103,ERR435107,ERR435108,ERR435131,ERR435138,ERR435139,ERR435143,ERR435151,ERR435152,ERR435153,ERR435155,ERR435165,ERR435174,ERR435182,ERR435188,ERR435190,ERR435191,ERR435194,ERR435197,ERR435201,ERR435209,ERR435212,ERR435216,ERR435222,ERR435239,ERR435266,ERR435275,ERR435289,ERR435292,ERR435298,ERR435305,ERR435321,ERR435335,ERR435350,ERR435379,ERR435384,ERR435385,ERR435386,ERR435392,ERR435395,ERR435413,ERR435431,ERR435434,ERR435437,ERR435441,ERR435445,ERR435480,ERR435489,ERR435494,ERR435503,ERR435524,ERR435549,ERR435567,ERR435578,ERR439564,ERR439575,ERR439589,ERR439601,ERR439613,ERR439628,ERR439635,ERR439651,ERR439652,ERR439657,ERR439658,ERR439663,ERR439666,ERR439670,ERR439711,ERR439712,ERR439717,ERR439718,ERR439721,ERR439722,ERR485897,ERR485899,ERR434530,ERR434784,ERR434811,ERR434884,ERR434889,ERR434965,ERR435012,ERR435101,ERR435105,ERR435142,ERR435265,ERR435397,ERR439644,ERR434260,ERR434261,ERR434264,ERR434270,ERR434273,ERR434275,ERR434276,ERR434277,ERR434281,ERR434282,ERR434283,ERR434284,ERR434285,ERR434287,ERR434289,ERR434294,ERR434295,ERR434299,ERR434304,ERR434305,ERR434306,ERR434307,ERR434308,ERR434309,ERR434311,ERR434312,ERR434313,ERR434314,ERR434315,ERR434316,ERR434317,ERR434320,ERR434321,ERR434322,ERR434332,ERR434333,ERR434335,ERR434336,ERR434337,ERR434339,ERR434341,ERR434342,ERR434344,ERR434345,ERR434346,ERR434349,ERR434352,ERR434354,ERR434356,ERR434357,ERR434360,ERR434361,ERR434362,ERR434363,ERR434364,ERR434365,ERR434367,ERR434369,ERR434371,ERR434372,ERR434373,ERR434375,ERR434376,ERR434377,ERR434378,ERR434380,ERR434381,ERR434382,ERR434383,ERR434384,ERR434389,ERR434390,ERR434392,ERR434395,ERR434396,ERR434399,ERR434400,ERR434401,ERR434402,ERR434403,ERR434404,ERR434406,ERR434407,ERR434408,ERR434410,ERR434412,ERR434413,ERR434420,ERR434425,ERR434427,ERR434428,ERR434430,ERR434431,ERR434432,ERR434433,ERR434434,ERR434435,ERR434439,ERR434440,ERR434441,ERR434446,ERR434449,ERR434450,ERR434451,ERR434452,ERR434454,ERR434456,ERR434457,ERR434458,ERR434461,ERR434464,ERR434465,ERR434466,ERR434467,ERR434470,ERR434474,ERR434475,ERR434476,ERR434478,ERR434479,ERR434480,ERR434482,ERR434483,ERR434487,ERR434488,ERR434490,ERR434493,ERR434494,ERR434498,ERR434499,ERR434500,ERR434501,ERR434510,ERR434511,ERR434512,ERR434517,ERR434518,ERR434519,ERR434521,ERR434522,ERR434524,ERR434526,ERR434527,ERR434529,ERR434532,ERR434536,ERR434538,ERR434540,ERR434543,ERR434546,ERR434547,ERR434550,ERR434551,ERR434554,ERR434556,ERR434565,ERR434566,ERR434567,ERR434569,ERR434572,ERR434573,ERR434575,ERR434576,ERR434578,ERR434579,ERR434580,ERR434581,ERR434585,ERR434586,ERR434589,ERR434590,ERR434592,ERR434593,ERR434594,ERR434597,ERR434598,ERR434599,ERR434603,ERR434606,ERR434607,ERR434610,ERR434613,ERR434616,ERR434617,ERR434619,ERR434621,ERR434622,ERR434625,ERR434626,ERR434627,ERR434628,ERR434629,ERR434631,ERR434634,ERR434637,ERR434638,ERR434639,ERR434641,ERR434642,ERR434643,ERR434644,ERR434647,ERR434648,ERR434649,ERR434650,ERR434652,ERR434657,ERR434658,ERR434661,ERR434662,ERR434664,ERR434666,ERR434667,ERR434671,ERR434673,ERR434674,ERR434676,ERR434678,ERR434680,ERR434681,ERR434682,ERR434683,ERR434685,ERR434686,ERR434687,ERR434690,ERR434691,ERR434692,ERR434693,ERR434695,ERR434696,ERR434697,ERR434699,ERR434700,ERR434701,ERR434702,ERR434704,ERR434706,ERR434711,ERR434717,ERR434721,ERR434724,ERR434725,ERR434726,ERR434731,ERR434732,ERR434733,ERR434737,ERR434738,ERR434744,ERR434745,ERR434753,ERR434754,ERR434755,ERR434758,ERR434759,ERR434761,ERR434763,ERR434765,ERR434767,ERR434768,ERR434769,ERR434771,ERR434772,ERR434773,ERR434774,ERR434775,ERR434785,ERR434788,ERR434789,ERR434791,ERR434792,ERR434793,ERR434795,ERR434796,ERR434797,ERR434798,ERR434799,ERR434800,ERR434803,ERR434806,ERR434807,ERR434808,ERR434809,ERR434810,ERR434812,ERR434813,ERR434814,ERR434817,ERR434819,ERR434820,ERR434822,ERR434823,ERR434826,ERR434827,ERR434828,ERR434829,ERR434833,ERR434834,ERR434835,ERR434836,ERR434837,ERR434838,ERR434839,ERR434840,ERR434843,ERR434852,ERR434854,ERR434855,ERR434859,ERR434860,ERR434861,ERR434862,ERR434863,ERR434864,ERR434865,ERR434867,ERR434869,ERR434871,ERR434872,ERR434874,ERR434878,ERR434879,ERR434885,ERR434887,ERR434888,ERR434890,ERR434891,ERR434894,ERR434896,ERR434897,ERR434899,ERR434900,ERR434901,ERR434902,ERR434903,ERR434906,ERR434908,ERR434911,ERR434913,ERR434914,ERR434917,ERR434918,ERR434920,ERR434923,ERR434924,ERR434926,ERR434927,ERR434928,ERR434931,ERR434935,ERR434939,ERR434941,ERR434944,ERR434947,ERR434948,ERR434949,ERR434950,ERR434951,ERR434952,ERR434957,ERR434959,ERR434966,ERR434969,ERR434972,ERR434974,ERR434976,ERR434977,ERR434978,ERR434979,ERR434980,ERR434984,ERR434985,ERR434986,ERR434987,ERR434988,ERR434992,ERR434993,ERR434998,ERR434999,ERR435000,ERR435003,ERR435007,ERR435009,ERR435011,ERR435014,ERR435017,ERR435018,ERR435019,ERR435022,ERR435025,ERR435027,ERR435028,ERR435031,ERR435034,ERR435037,ERR435038,ERR435039,ERR435040,ERR435043,ERR435044,ERR435045,ERR435046,ERR435047,ERR435049,ERR435050,ERR435051,ERR435052,ERR435056,ERR435057,ERR435061,ERR435062,ERR435064,ERR435065,ERR435066,ERR435068,ERR435072,ERR435075,ERR435076,ERR435079,ERR435081,ERR435086,ERR435089,ERR435090,ERR435092,ERR435093,ERR435094,ERR435098,ERR435102,ERR435104,ERR435106,ERR435110,ERR435111,ERR435113,ERR435114,ERR435115,ERR435116,ERR435117,ERR435118,ERR435120,ERR435124,ERR435125,ERR435127,ERR435128,ERR435129,ERR435130,ERR435134,ERR435135,ERR435136,ERR435137,ERR435140,ERR435141,ERR435144,ERR435145,ERR435146,ERR435147,ERR435148,ERR435154,ERR435156,ERR435157,ERR435159,ERR435161,ERR435162,ERR435166,ERR435167,ERR435168,ERR435169,ERR435170,ERR435171,ERR435173,ERR435176,ERR435178,ERR435179,ERR435180,ERR435181,ERR435183,ERR435184,ERR435185,ERR435187,ERR435189,ERR435192,ERR435193,ERR435195,ERR435196,ERR435198,ERR435200,ERR435202,ERR435204,ERR435206,ERR435207,ERR435208,ERR435210,ERR435213,ERR435214,ERR435215,ERR435220,ERR435221,ERR435223,ERR435224,ERR435226,ERR435227,ERR435228,ERR435232,ERR435233,ERR435234,ERR435235,ERR435236,ERR435240,ERR435241,ERR435242,ERR435245,ERR435250,ERR435252,ERR435255,ERR435259,ERR435260,ERR435267,ERR435268,ERR435270,ERR435272,ERR435274,ERR435276,ERR435277,ERR435278,ERR435279,ERR435281,ERR435283,ERR435284,ERR435285,ERR435286,ERR435291,ERR435294,ERR435299,ERR435302,ERR435303,ERR435304,ERR435309,ERR435311,ERR435313,ERR435314,ERR435317,ERR435318,ERR435319,ERR435320,ERR435322,ERR435323,ERR435324,ERR435325,ERR435327,ERR435329,ERR435330,ERR435331,ERR435332,ERR435333,ERR435334,ERR435336,ERR435340,ERR435341,ERR435344,ERR435345,ERR435346,ERR435347,ERR435351,ERR435352,ERR435354,ERR435356,ERR435358,ERR435360,ERR435365,ERR435367,ERR435368,ERR435369,ERR435372,ERR435375,ERR435376,ERR435377,ERR435378,ERR435387,ERR435388,ERR435391,ERR435393,ERR435398,ERR435399,ERR435400,ERR435402,ERR435403,ERR435404,ERR435405,ERR435406,ERR435408,ERR435409,ERR435414,ERR435415,ERR435417,ERR435418,ERR435421,ERR435422,ERR435423,ERR435425,ERR435427,ERR435429,ERR435433,ERR435435,ERR435438,ERR435439,ERR435442,ERR435444,ERR435446,ERR435447,ERR435449,ERR435450,ERR435453,ERR435454,ERR435455,ERR435456,ERR435457,ERR435458,ERR435459,ERR435460,ERR435461,ERR435463,ERR435465,ERR435466,ERR435467,ERR435472,ERR435473,ERR435474,ERR435476,ERR435478,ERR435481,ERR435483,ERR435484,ERR435486,ERR435487,ERR435490,ERR435491,ERR435492,ERR435493,ERR435495,ERR435496,ERR435497,ERR435499,ERR435500,ERR435501,ERR435504,ERR435505,ERR435506,ERR435507,ERR435508,ERR435510,ERR435513,ERR435514,ERR435515,ERR435520,ERR435521,ERR435522,ERR435525,ERR435528,ERR435529,ERR435535,ERR435537,ERR435539,ERR435542,ERR435543,ERR435544,ERR435552,ERR435554,ERR435556,ERR435559,ERR435560,ERR435563,ERR435564,ERR435565,ERR435566,ERR435568,ERR435569,ERR435570,ERR435572,ERR435573,ERR435575,ERR439533,ERR439536,ERR439537,ERR439539,ERR439540,ERR439542,ERR439543,ERR439544,ERR439549,ERR439550,ERR439552,ERR439553,ERR439556,ERR439557,ERR439558,ERR439559,ERR439561,ERR439562,ERR439563,ERR439565,ERR439566,ERR439568,ERR439569,ERR439570,ERR439572,ERR439574,ERR439578,ERR439579,ERR439580,ERR439581,ERR439588,ERR439590,ERR439591,ERR439592,ERR439594,ERR439603,ERR439605,ERR439606,ERR439607,ERR439608,ERR439609,ERR439610,ERR439611,ERR439616,ERR439618,ERR439621,ERR439623,ERR439624,ERR439627,ERR439629,ERR439632,ERR439633,ERR439636,ERR439637,ERR439638,ERR439639,ERR439640,ERR439642,ERR439647,ERR439648,ERR439649,ERR439650,ERR439653,ERR439655,ERR439660,ERR439662,ERR439665,ERR439667,ERR439669,ERR439672,ERR439674,ERR439675,ERR439676,ERR439677,ERR439678,ERR439679,ERR439682,ERR439683,ERR439684,ERR439685,ERR439686,ERR439687,ERR439688,ERR439689,ERR439691,ERR439692,ERR439695,ERR439696,ERR439697,ERR439698,ERR439701,ERR439703,ERR439704,ERR439706,ERR439707,ERR439708,ERR439710,ERR439713,ERR439716,ERR439720,ERR439723,ERR439724,ERR439725,ERR439726,ERR439727,ERR439729,ERR439730,ERR439732,ERR485890,ERR485893,ERR485895,ERR485896,ERR485898,ERR485900,,,,
FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
FIB,0,FIB,0,0,FIB,0,FIB,FIB,0,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,0,0,0,0,FIB,FIB,0,0,0,0,FIB,FIB,0,FIB,FIB,0,0,0,FIB,0,FIB,0,FIB,0,0,0,0,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,0,0,0,0,0,0,FIB,FIB,FIB,0,FIB,FIB,FIB,0,FIB,0,0,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,0,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,0,FIB,FIB,FIB,FIB,0,0,FIB,0,FIB,0,FIB,0,0,FIB,0,0,FIB,0,FIB,FIB,FIB,FIB,0,0,0,0,0,FIB,FIB,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,FIB,FIB,0,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,0,FIB,0,FIB,0,0,0,FIB,FIB,0,FIB,0,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,FIB,0,0,0,0,0,0,FIB,FIB,FIB,FIB,0,0,0,FIB,0,FIB,FIB,FIB,0,0,0,0,0,0,0,0,0,0,0,0,0,FIB,0,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,0,0,0,FIB,FIB,0,0,0,FIB,0,0,FIB,FIB,0,FIB,FIB,0,0,FIB,FIB,0,FIB,0,0,0,FIB,FIB,0,FIB,0,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,0,FIB,0,0,FIB,FIB,FIB,FIB,FIB,0,FIB,0,0,0,0,0,FIB,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,0,0,FIB,0,FIB,FIB,FIB,FIB,0,FIB,0,0,FIB,0,FIB,FIB,FIB,FIB,FIB,0,FIB,0,FIB,FIB,FIB,FIB,0,0,0,FIB,0,FIB,FIB,FIB,FIB,0,0,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,0,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,0,FIB,FIB,0,FIB,FIB,FIB,0,0,FIB,0,0,0,0,FIB,0,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,0,0,FIB,0,0,FIB,0,0,0,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,FIB,0,FIB,0,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,0,FIB,0,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,FIB,FIB,FIB,0,FIB,FIB,0,0,FIB,0,0,FIB,0,FIB,0,FIB,FIB,0,FIB,FIB,FIB,0,FIB,FIB,0,FIB,0,0,0,FIB,0,FIB,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,0,0,0,0,0,0,0,0,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,0,FIB,FIB,0,FIB,0,FIB,0,FIB,0,0,0,FIB,0,0,FIB,0,0,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,0,FIB,FIB,0,FIB,0,FIB,FIB,FIB,FIB,FIB,0,0,0,FIB,FIB,0,0,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,0,0,FIB,FIB,FIB,FIB,0,FIB,FIB,0,0,0,FIB,FIB,0,FIB,0,FIB,FIB,0,FIB,FIB,0,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,0,0,0,FIB,FIB,FIB,FIB,0,FIB,0,0,0,0,0,FIB,FIB,FIB,FIB,0,0,FIB,0,FIB,FIB,FIB,0,0,0,FIB,FIB,0,FIB,FIB,0,0,0,FIB,0,FIB,FIB,0,0,0,0,FIB,0,0,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,0,FIB,0,0,0,FIB,0,0,FIB,FIB,0,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,0,0,FIB,0,0,FIB,FIB,FIB,FIB,0,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,0,FIB,FIB,0,FIB,0,0,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,0,0,0,FIB,0,FIB,0,0,FIB,FIB,FIB,0,FIB,0,FIB,FIB,FIB,FIB,0,FIB,0,FIB,0,0,FIB,0,0,FIB,FIB,0,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,FIB,0,FIB,0,0,0,0,0,FIB,FIB,0,0,FIB,FIB,FIB,0,0,FIB,0,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,0,0,FIB,0,0,FIB,FIB,FIB,0,FIB,0,FIB,0,FIB,0,0,FIB,0,0,FIB,0,FIB,FIB,0,FIB,0,0,0,FIB,FIB,0,FIB,FIB,FIB,0,0,0,0,0,FIB,FIB,FIB,0,FIB,0,0,0,FIB,FIB,FIB,0,0,FIB,FIB,0,FIB,FIB,0,0,FIB,FIB,0,0,FIB,0,FIB,FIB,0,0,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,0,0,0,FIB,FIB,0,0,FIB,FIB,FIB,0,0,FIB,0,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,0,0,0,0,FIB,FIB,0,FIB,0,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,0,,,,
