Accession,FIA ,FIB ,FIC
ERR434259,,,
ERR434262,,,
ERR434274,FIA,FIB,
ERR434291,FIA,FIB,
ERR434297,,,
ERR434298,FIA,FIB,FIC
ERR434310,FIA,FIB,FIC
ERR434327,,FIB,FIC
ERR434348,,FIB,FIC
ERR434366,FIA,FIB,FIC
ERR434374,FIA,FIB,FIC
ERR434411,,,
ERR434414,,FIB,
ERR434422,,,
ERR434424,,,
ERR434437,,,
ERR434444,,FIB,
ERR434460,,FIB,
ERR434469,,FIB,
ERR434484,,,FIC
ERR434485,,,
ERR434513,,FIB,
ERR434515,FIA,FIB,
ERR434537,FIA,FIB,
ERR434544,,FIB,
ERR434557,,FIB,
ERR434558,,FIB,FIC
ERR434560,,,
ERR434568,FIA,FIB,FIC
ERR434570,FIA,FIB,
ERR434591,,,
ERR434605,,FIB,FIC
ERR434630,,,
ERR434646,,,
ERR434669,,FIB,FIC
ERR434670,,,FIC
ERR434684,,FIB,FIC
ERR434689,,FIB,
ERR434713,,FIB,
ERR434718,,FIB,FIC
ERR434720,,FIB,
ERR434735,FIA,FIB,FIC
ERR434739,,,FIC
ERR434747,,FIB,FIC
ERR434756,,FIB,
ERR434778,,,
ERR434802,,,
ERR434824,,FIB,FIC
ERR434845,,FIB,
ERR434848,FIA,,
ERR434850,,FIB,
ERR434870,,FIB,
ERR434910,,,
ERR434919,FIA,,FIC
ERR434932,,FIB,
ERR434958,,,
ERR434971,,FIB,
ERR434973,,,
ERR434989,,FIB,FIC
ERR434990,,FIB,
ERR434996,FIA,FIB,FIC
ERR435002,,FIB,
ERR435004,FIA,FIB,
ERR435015,FIA,FIB,FIC
ERR435024,,,
ERR435026,,FIB,FIC
ERR435032,,,
ERR435071,FIA,FIB,FIC
ERR435099,,,
ERR435109,,,
ERR435121,,FIB,
ERR435158,,FIB,
ERR435211,,FIB,
ERR435225,,,FIC
ERR435230,FIA,FIB,
ERR435231,FIA,FIB,FIC
ERR435237,FIA,FIB,FIC
ERR435246,,FIB,
ERR435248,,,
ERR435249,,,
ERR435256,,FIB,FIC
ERR435257,,,FIC
ERR435263,FIA,FIB,FIC
ERR435273,,,
ERR435293,,,
ERR435306,,FIB,FIC
ERR435316,,FIB,
ERR435328,,,
ERR435339,FIA,FIB,
ERR435348,,FIB,
ERR435349,,FIB,
ERR435355,,,
ERR435363,,FIB,
ERR435371,,FIB,FIC
ERR435383,FIA,FIB,FIC
ERR435416,,FIB,
ERR435426,,,
ERR435452,,FIB,
ERR435468,,FIB,FIC
ERR435475,,FIB,
ERR435509,,FIB,
ERR435511,,FIB,
ERR435512,,,
ERR435516,,FIB,FIC
ERR435527,,,
ERR435532,,FIB,
ERR435545,,FIB,FIC
ERR435557,,FIB,
