ERR accession,FIA,FIB,FIC
ERR434919,FIA,,
ERR434910,,,
ERR434689,,FIB,
ERR435416,,FIB,
ERR435532,,FIB,
ERR434444,,FIB,
ERR439622,,FIB,
ERR435230,FIA,FIB,
ERR460494,,FIB,
ERR434310,FIA,FIB,
ERR434568,,FIB,
ERR435339,FIA,FIB,
ERR434669,,FIB,
ERR435571,,FIB,
ERR434996,FIA,FIB,
ERR435231,FIA,FIB,
ERR435383,FIA,FIB,
ERR435348,,FIB,
ERR434327,,FIB,
ERR434570,FIA,,
ERR439538,FIA,FIB,
ERR434515,FIA,FIB,
ERR435246,,FIB,
ERR435256,,FIB,
ERR435211,,FIB,
ERR435248,,,
ERR435249,,,
ERR435349,,FIB,
ERR435158,,FIB,
ERR434414,,FIB,
ERR439619,FIA,FIB,
ERR434513,,FIB,
ERR435426,,,
ERR435237,FIA,FIB,
ERR435257,,,
ERR435545,,,
ERR434718,,FIB,
ERR435004,FIA,FIB,
ERR434411,,,
ERR434973,,,
ERR435002,,FIB,
ERR434422,,,
ERR434605,,FIB,
ERR435355,,,
ERR434713,,FIB,
ERR439702,,,
ERR434544,,FIB,
ERR434424,,,
ERR434591,,,
ERR435452,,FIB,
ERR434720,,FIB,
ERR435363,,FIB,
ERR439625,FIA,FIB,
ERR435225,,,
ERR435099,,,
ERR434437,,,
ERR435263,FIA,FIB,
ERR439614,,,
ERR435557,,FIB,
ERR434291,FIA,FIB,
ERR439728,,FIB,
ERR434537,FIA,FIB,
ERR435121,,FIB,
ERR434802,,,
ERR434348,,FIB,
ERR435527,,,
ERR435015,FIA,FIB,
ERR435562,,FIB,
ERR435371,,FIB,
ERR434630,,,
ERR435024,,,
ERR435273,,,
ERR435468,,FIB,
ERR435576,,,
ERR434484,,,
ERR434735,FIA,FIB,
ERR435026,,FIB,
ERR434971,,FIB,
ERR434989,,FIB,
ERR435516,,FIB,
ERR435316,,FIB,
ERR439546,,FIB,
ERR435509,,FIB,
ERR435511,,FIB,
ERR435512,,,
ERR434485,,,
ERR439645,,FIB,
ERR435071,FIA,FIB,
ERR439560,,FIB,
ERR434297,,,
ERR485894,,FIB,
ERR434298,FIA,FIB,
ERR435475,,FIB,
ERR434684,,FIB,
ERR439567,,FIB,
ERR435328,,,
ERR439604,,FIB,
ERR434824,,FIB,
ERR434990,,FIB,
ERR434259,,,
ERR434366,FIA,FIB,
ERR434557,,,
ERR434560,,,
ERR434670,,,
ERR434756,,FIB,
ERR434739,,,
ERR435109,,,
ERR439634,,FIB,
ERR439681,,FIB,
ERR434932,,FIB,
ERR435306,,FIB,
ERR434374,FIA,FIB,
ERR434460,,FIB,
ERR435032,,,
ERR434778,,,
ERR434747,,FIB,
ERR434845,,FIB,
ERR434850,,FIB,
ERR439600,,FIB,
ERR434469,,FIB,
ERR439693,,,
ERR439668,FIA,FIB,
ERR434274,FIA,FIB,
ERR434870,,FIB,
ERR434646,,,
ERR434558,,FIB,
ERR434958,,,
ERR434262,,,
ERR434848,FIA,,
ERR435293,,,
ERR434698,,,
ERR434496,FIA,FIB,
ERR435338,,,
ERR439577,,FIB,
ERR435534,,FIB,
ERR435536,FIA,FIB,
ERR435243,,,
ERR439593,,FIB,
ERR435254,,,
ERR434596,,,
ERR434328,,,
ERR435251,,,
ERR439620,,FIB,
ERR439582,,FIB,
ERR439583,,FIB,
ERR439587,FIA,FIB,
ERR439700,,FIB,
ERR434892,,,
ERR435443,,FIB,
ERR434491,FIA,FIB,
ERR435498,,FIB,
ERR435553,FIA,FIB,
ERR434675,FIA,FIB,
ERR434353,,,
ERR439617,,FIB,
ERR434541,,FIB,
ERR435362,,,
ERR439705,,,
ERR435482,,,
ERR435364,,FIB,
ERR435175,,FIB,
ERR434535,FIA,FIB,
ERR434292,,FIB,
ERR434801,,,
ERR434343,FIA,FIB,
ERR439541,,,
ERR435021,,,
ERR434351,,,
ERR434930,FIA,FIB,
ERR434981,,,
ERR439545,FIA,FIB,
ERR439547,,,
ERR434393,,,
ERR434300,,FIB,
ERR439599,,FIB,
ERR434668,,FIB,
ERR435080,,FIB,
ERR435074,,FIB,
ERR434453,,,
ERR434663,,FIB,
ERR434886,,FIB,
ERR439694,,FIB,
ERR439680,,,
ERR435205,FIA,FIB,
ERR434962,,FIB,
ERR434552,,FIB,
ERR434665,,,
ERR434263,,FIB,
ERR434355,,FIB,
ERR434459,,FIB,
ERR434955,,,
ERR434841,,,
ERR434358,,FIB,
ERR434783,,FIB,
ERR434970,,,
ERR434267,,,
ERR434279,,,
ERR434651,,,
ERR434268,,,
ERR434399,,FIB,
ERR434695,,,
ERR434696,,,
ERR434920,,FIB,
ERR435094,,FIB,
ERR434697,,,
ERR439724,,,
ERR434580,,FIB,
ERR434825,FIA,FIB,
ERR434826,,FIB,
ERR434306,,,
ERR434922,FIA,,
ERR434923,,FIB,
ERR435095,FIA,,
ERR435330,,FIB,
ERR434908,,FIB,
ERR434699,,FIB,
ERR439732,,FIB,FIC
ERR435528,,FIB,
ERR434820,,,
ERR435226,,,
ERR439570,,FIB,
ERR435131,FIA,,
ERR434700,,FIB,
ERR435529,,FIB,
ERR435331,,FIB,
ERR435227,,,
ERR439572,,FIB,
ERR434581,,FIB,
ERR434582,FIA,FIB,
ERR439650,,FIB,
ERR439718,FIA,FIB,
ERR434907,FIA,FIB,
ERR435079,,FIB,
ERR434307,,FIB,
ERR439623,,,
ERR435332,,FIB,
ERR435275,FIA,FIB,
ERR435333,,FIB,
ERR435228,,FIB,
ERR435134,,FIB,
ERR435417,,,
ERR435418,,FIB,FIC
ERR434400,,,
ERR439574,,FIB,
ERR435563,,FIB,
ERR435375,,,
ERR435334,,FIB,
ERR434401,,FIB,
ERR434738,,FIB,
ERR439607,,,
ERR434448,FIA,,
ERR435476,,FIB,FIC
ERR434539,FIA,,
ERR435277,,,
ERR439606,,FIB,
ERR435135,,FIB,
ERR434308,,,
ERR439575,FIA,,
ERR435335,FIA,FIB,
ERR434583,FIA,FIB,
ERR435421,,,
